member_id,time_retrieved,honorific,first_name,last_name,constituency,province_territory,party,email,website,image_url,source_url
89156,1708714122709,,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,ziad.aboultaif@parl.gc.ca,http://ziadaboultaif.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AboultaifZiad_CPC.jpg,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156)
105340,1708714122709,,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,Scott.Aitchison@parl.gc.ca,http://scottaitchisonmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AitchisonScott_CPC.jpg,https://www.ourcommons.ca/members/en/scott-aitchison(105340)
72029,1708714122709,,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,dan.albas@parl.gc.ca,http://www.danalbas.com,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AlbasDan_CPC.jpg,https://www.ourcommons.ca/members/en/dan-albas(72029)
89258,1708714122709,,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,john.aldag@parl.gc.ca,http://johnaldagmp.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AldagJohn_Lib.jpg,https://www.ourcommons.ca/members/en/john-aldag(89258)
89535,1708714122709,Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,omar.alghabra@parl.gc.ca,http://omaralghabra.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AlghabraOmar_Lib.jpg,https://www.ourcommons.ca/members/en/omar-alghabra(89535)
110339,1708714122709,,Shafqat,Ali,Brampton Centre,Ontario,Liberal,shafqat.ali@parl.gc.ca,http://shafqatali.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AliShafqat_Lib.jpg,https://www.ourcommons.ca/members/en/shafqat-ali(110339)
25446,1708714122709,,Dean,Allison,Niagara West,Ontario,Conservative,dean.allison@parl.gc.ca,http://www.deanallison.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AllisonDean_CPC.jpg,https://www.ourcommons.ca/members/en/dean-allison(25446)
96081,1708714122709,Hon.,Anita,Anand,Oakville,Ontario,Liberal,Anita.Anand@parl.gc.ca,http://anitaanand.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AnandAnita_Lib.jpg,https://www.ourcommons.ca/members/en/anita-anand(96081)
89449,1708714122709,Hon.,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,gary.anand@parl.gc.ca,http://garyanandasangaree.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AnandasangareeGary_Lib.jpg,https://www.ourcommons.ca/members/en/gary-anandasangaree(89449)
25470,1708714122709,,Charlie,Angus,Timmins—James Bay,Ontario,NDP,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AngusCharlie_NDP.jpg,https://www.ourcommons.ca/members/en/charlie-angus(25470)
89294,1708714122709,,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,mel.arnold@parl.gc.ca,http://melarnold.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ArnoldMel_CPC.jpg,https://www.ourcommons.ca/members/en/mel-arnold(89294)
89383,1708714122709,,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,rene.arseneault@parl.gc.ca,,/Content/Parliamentarians/Images/OfficialMPPhotos/44/ArseneaultRené_Lib.jpg,https://www.ourcommons.ca/members/en/rene-arseneault(89383)
88860,1708714122709,,Chandra,Arya,Nepean,Ontario,Liberal,chandra.arya@parl.gc.ca,http://chandraarya.libparl.ca,/Content/Parliamentarians/Images/OfficialMPPhotos/44/AryaChandra_Lib.jpg,https://www.ourcommons.ca/members/en/chandra-arya(88860)
