member_id,time_retrieved,honorific,first_name,last_name,constituency,province_territory,party,email,website,image_url,source_url
7493,1708713980616,,Deepak,Anand,Mississauga—Malton,ON,Progressive Conservative Party of Ontario,Deepak.anandco@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/Deepak-Anand.jpg,https://www.ola.org/en/members/all/deepak-anand
7517,1708713980616,,Jill,Andrew,Toronto—St. Paul's,ON,New Democratic Party of Ontario,JAndrew-QP@ndp.on.ca,,https://www.ola.org/sites/default/files/member/profile-photo/jill-andrew.jpg,https://www.ola.org/en/members/all/jill-andrew
7183,1708713980616,,Teresa,Armstrong,London—Fanshawe,ON,New Democratic Party of Ontario,,,https://www.ola.org/sites/default/files/member/profile-photo/teresa_armstrong_0.jpg,https://www.ola.org/en/members/all/teresa-j-armstrong
2,1708713980616,Hon.,Ted,Arnott,Wellington—Halton Hills,ON,Progressive Conservative Party of Ontario,ted.arnott@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/ted_arnott_0.jpg,https://www.ola.org/en/members/all/ted-arnott
7509,1708713980616,,Aris,Babikian,Scarborough—Agincourt,ON,Progressive Conservative Party of Ontario,Aris.Babikian@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/aris_babikian_.jpg,https://www.ola.org/en/members/all/aris-babikian
7086,1708713980616,,Robert,Bailey,Sarnia—Lambton,ON,Progressive Conservative Party of Ontario,Bob.Bailey@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/bob_bailey_0.jpg,https://www.ola.org/en/members/all/robert-bailey
7584,1708713980616,,Patrice,Barnes,Ajax,ON,Progressive Conservative Party of Ontario,Patrice.Barnes@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/Patrice_Barnes.png,https://www.ola.org/en/members/all/patrice-barnes
7508,1708713980616,,Doly,Begum,Scarborough Southwest,ON,New Democratic Party of Ontario,DBegum-QP@ndp.on.ca,,https://www.ola.org/sites/default/files/member/profile-photo/doly_begum_0.jpg,https://www.ola.org/en/members/all/doly-begum
7518,1708713980616,,Jessica,Bell,University—Rosedale,ON,New Democratic Party of Ontario,JBell-QP@ndp.on.ca,,https://www.ola.org/sites/default/files/member/profile-photo/jessica_bell.jpg,https://www.ola.org/en/members/all/jessica-bell
7505,1708713980616,Hon.,Peter,Bethlenfalvy,Pickering—Uxbridge,ON,Progressive Conservative Party of Ontario,Peter.Bethlenfalvy@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/peter_bethlenfalvy.jpg,https://www.ola.org/en/members/all/peter-bethlenfalvy
7564,1708713980616,,Stephen,Blais,Orléans,ON,Ontario Liberal Party,,,https://www.ola.org/sites/default/files/member/profile-photo/Stephen_Blais.jpg,https://www.ola.org/en/members/all/stephen-blais
7457,1708713980616,,Will,Bouma,Brantford—Brant,ON,Progressive Conservative Party of Ontario,will.bouma@pc.ola.org,,https://www.ola.org/sites/default/files/member/profile-photo/will_bouma.jpg,https://www.ola.org/en/members/all/will-bouma
7495,1708713980616,,Guy,Bourgouin,Mushkegowuk—James Bay,ON,New Democratic Party of Ontario,GBourgouin-QP@ndp.on.ca,,https://www.ola.org/sites/default/files/member/profile-photo/guy_bourgouin.jpg,https://www.ola.org/en/members/all/guy-bourgouin
