member_id,time_retrieved,honorific,first_name,last_name,constituency,province_territory,party,email,website,gov_level,image_url,source_url
7493,1708745813416,,Deepak,Anand,Mississauga—Malton,Ontario,Progressive Conservative Party of Ontario,Deepak.anandco@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Deepak-Anand.jpg,https://www.ola.org/en/members/all/deepak-anand
7517,1708745813416,,Jill,Andrew,Toronto—St. Paul's,Ontario,New Democratic Party of Ontario,JAndrew-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/jill-andrew.jpg,https://www.ola.org/en/members/all/jill-andrew
7183,1708745813416,,Teresa,Armstrong,London—Fanshawe,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/teresa_armstrong_0.jpg,https://www.ola.org/en/members/all/teresa-j-armstrong
2,1708745813416,Hon.,Ted,Arnott,Wellington—Halton Hills,Ontario,Progressive Conservative Party of Ontario,ted.arnott@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/ted_arnott_0.jpg,https://www.ola.org/en/members/all/ted-arnott
7509,1708745813416,,Aris,Babikian,Scarborough—Agincourt,Ontario,Progressive Conservative Party of Ontario,Aris.Babikian@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/aris_babikian_.jpg,https://www.ola.org/en/members/all/aris-babikian
7086,1708745813416,,Robert,Bailey,Sarnia—Lambton,Ontario,Progressive Conservative Party of Ontario,Bob.Bailey@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/bob_bailey_0.jpg,https://www.ola.org/en/members/all/robert-bailey
7584,1708745813416,,Patrice,Barnes,Ajax,Ontario,Progressive Conservative Party of Ontario,Patrice.Barnes@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Patrice_Barnes.png,https://www.ola.org/en/members/all/patrice-barnes
7508,1708745813416,,Doly,Begum,Scarborough Southwest,Ontario,New Democratic Party of Ontario,DBegum-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/doly_begum_0.jpg,https://www.ola.org/en/members/all/doly-begum
7518,1708745813416,,Jessica,Bell,University—Rosedale,Ontario,New Democratic Party of Ontario,JBell-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/jessica_bell.jpg,https://www.ola.org/en/members/all/jessica-bell
7505,1708745813416,Hon.,Peter,Bethlenfalvy,Pickering—Uxbridge,Ontario,Progressive Conservative Party of Ontario,Peter.Bethlenfalvy@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/peter_bethlenfalvy.jpg,https://www.ola.org/en/members/all/peter-bethlenfalvy
7564,1708745813416,,Stephen,Blais,Orléans,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Stephen_Blais.jpg,https://www.ola.org/en/members/all/stephen-blais
7457,1708745813416,,Will,Bouma,Brantford—Brant,Ontario,Progressive Conservative Party of Ontario,will.bouma@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/will_bouma.jpg,https://www.ola.org/en/members/all/will-bouma
7495,1708745813416,,Guy,Bourgouin,Mushkegowuk—James Bay,Ontario,New Democratic Party of Ontario,GBourgouin-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/guy_bourgouin.jpg,https://www.ola.org/en/members/all/guy-bourgouin
7594,1708745813416,,Stephanie,Bowman,Don Valley West,Ontario,Ontario Liberal Party,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Stephanie_Bowman_0.jpg,https://www.ola.org/en/members/all/stephanie-bowman
7599,1708745813416,,Bobbi Ann,Brady,Haldimand—Norfolk,Ontario,Independent,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Bobbi_Ann_Brady.jpg,https://www.ola.org/en/members/all/bobbi-ann-brady
7601,1708745813416,,Ric,Bresee,Hastings—Lennox and Addington,Ontario,Progressive Conservative Party of Ontario,Ric.Bresee@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Ric_Bresee.png,https://www.ola.org/en/members/all/ric-bresee
7496,1708745813416,,Jeff,Burch,Niagara Centre,Ontario,New Democratic Party of Ontario,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/jeff_burch.jpg,https://www.ola.org/en/members/all/jeff-burch
7589,1708745813416,,Rick,Byers,Bruce—Grey—Owen Sound,Ontario,Progressive Conservative Party of Ontario,Rick.Byers@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Rick_Byers.png,https://www.ola.org/en/members/all/rick-byers
