name,constituency,email,website,office_type,office_title,office_address,office_city,office_province,office_postal_code,office_note,office_phone,office_fax,source,time_retrieved
Ziad Aboultaif,Edmonton Manning,ziad.aboultaif@parl.gc.ca,http://ziadaboultaif.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0946,613-992-0973,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156),1705764558727
Ziad Aboultaif,Edmonton Manning,ziad.aboultaif@parl.gc.ca,http://ziadaboultaif.ca,Constituency Office,Main office -  Edmonton,,Edmonton,Alberta,T5A 1B7,,780-822-1540,780-822-1544,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156),1705764558727
Scott Aitchison,Parry Sound—Muskoka,Scott.Aitchison@parl.gc.ca,http://scottaitchisonmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-944-7740,613-992-5092,https://www.ourcommons.ca/members/en/scott-aitchison(105340),1705764558727
Scott Aitchison,Parry Sound—Muskoka,Scott.Aitchison@parl.gc.ca,http://scottaitchisonmp.ca,Constituency Office,Main office -  Huntsville,,Huntsville,Ontario,P1H 1M4,,705-789-4640,705-789-8857,https://www.ourcommons.ca/members/en/scott-aitchison(105340),1705764558727
Dan Albas,Central Okanagan—Similkameen—Nicola,dan.albas@parl.gc.ca,http://www.danalbas.com,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1702,613-995-1154,https://www.ourcommons.ca/members/en/dan-albas(72029),1705764558727
Dan Albas,Central Okanagan—Similkameen—Nicola,dan.albas@parl.gc.ca,http://www.danalbas.com,Constituency Office,Main office -  West Kelowna,,West Kelowna,British Columbia,V4T 2N5,,1-800-665-8711,250-707-2153,https://www.ourcommons.ca/members/en/dan-albas(72029),1705764558727
Dan Albas,Central Okanagan—Similkameen—Nicola,dan.albas@parl.gc.ca,http://www.danalbas.com,Constituency Office,Summerland,,Summerland,British Columbia,V0H 1Z0,,,,https://www.ourcommons.ca/members/en/dan-albas(72029),1705764558727
John Aldag,Cloverdale—Langley City,john.aldag@parl.gc.ca,http://johnaldagmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0884,613-992-0898,https://www.ourcommons.ca/members/en/john-aldag(89258),1705764558727
John Aldag,Cloverdale—Langley City,john.aldag@parl.gc.ca,http://johnaldagmp.ca,Constituency Office,Main office -  Surrey,,Surrey,British Columbia,V4N 3G6,,604-575-6595,604-575-6599,https://www.ourcommons.ca/members/en/john-aldag(89258),1705764558727
The Honourable Omar Alghabra,Mississauga Centre,omar.alghabra@parl.gc.ca,http://omaralghabra.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1301,613-992-1321,https://www.ourcommons.ca/members/en/omar-alghabra(89535),1705764558727
The Honourable Omar Alghabra,Mississauga Centre,omar.alghabra@parl.gc.ca,http://omaralghabra.libparl.ca,Constituency Office,Main office -  Mississauga,,Mississauga,Ontario,L5R 3K6,,905-848-8595,905-848-2712,https://www.ourcommons.ca/members/en/omar-alghabra(89535),1705764558727
Shafqat Ali,Brampton Centre,shafqat.ali@parl.gc.ca,http://shafqatali.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-9105,613-947-0443,https://www.ourcommons.ca/members/en/shafqat-ali(110339),1705764558727
Shafqat Ali,Brampton Centre,shafqat.ali@parl.gc.ca,http://shafqatali.libparl.ca,Constituency Office,Main office -  Brampton,,Brampton,Ontario,L6W 4N6,,905-790-9211,905-790-9507,https://www.ourcommons.ca/members/en/shafqat-ali(110339),1705764558727
Dean Allison,Niagara West,dean.allison@parl.gc.ca,http://www.deanallison.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-2772,613-992-2727,https://www.ourcommons.ca/members/en/dean-allison(25446),1705764558727
Dean Allison,Niagara West,dean.allison@parl.gc.ca,http://www.deanallison.ca,Constituency Office,Main office -  Beamsville,,Beamsville,Ontario,L0R 1B0,,905-563-7900,905-563-7500,https://www.ourcommons.ca/members/en/dean-allison(25446),1705764558727
The Honourable Anita Anand,Oakville,Anita.Anand@parl.gc.ca,http://anitaanand.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-4014,613-992-0520,https://www.ourcommons.ca/members/en/anita-anand(96081),1705764558727
The Honourable Anita Anand,Oakville,Anita.Anand@parl.gc.ca,http://anitaanand.libparl.ca,Constituency Office,Main office -  Oakville,,Oakville,Ontario,L6J 1G7,,905-338-2008,905-338-5432,https://www.ourcommons.ca/members/en/anita-anand(96081),1705764558727
The Honourable Gary Anandasangaree,Scarborough—Rouge Park,gary.anand@parl.gc.ca,http://garyanandasangaree.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1351,613-992-1373,https://www.ourcommons.ca/members/en/gary-anandasangaree(89449),1705764558727
The Honourable Gary Anandasangaree,Scarborough—Rouge Park,gary.anand@parl.gc.ca,http://garyanandasangaree.libparl.ca,Constituency Office,Main office -  Toronto,,Toronto,Ontario,M1C 4Y8,,416-283-1414,416-283-5012,https://www.ourcommons.ca/members/en/gary-anandasangaree(89449),1705764558727
Charlie Angus,Timmins—James Bay,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-2919,613-995-0747,https://www.ourcommons.ca/members/en/charlie-angus(25470),1705764558727
Charlie Angus,Timmins—James Bay,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,Constituency Office,Main office -  Timmins,,Timmins,Ontario,P4N 1E2,,705-268-6464,705-268-6460,https://www.ourcommons.ca/members/en/charlie-angus(25470),1705764558727
Charlie Angus,Timmins—James Bay,charlie.angus@parl.gc.ca,http://www.charlieangus.ca,Constituency Office,Kirkland Lake,,Kirkland Lake,Ontario,P2N 3N8,,705-567-2747,705-567-5232,https://www.ourcommons.ca/members/en/charlie-angus(25470),1705764558727
Mel Arnold,North Okanagan—Shuswap,mel.arnold@parl.gc.ca,http://melarnold.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-9095,613-992-3195,https://www.ourcommons.ca/members/en/mel-arnold(89294),1705764558727
Mel Arnold,North Okanagan—Shuswap,mel.arnold@parl.gc.ca,http://melarnold.ca,Constituency Office,Main office -  Vernon,,Vernon,British Columbia,V1T 5A8,,250-260-5020,250-260-5025,https://www.ourcommons.ca/members/en/mel-arnold(89294),1705764558727
René Arseneault,Madawaska—Restigouche,rene.arseneault@parl.gc.ca,,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-0581,613-996-9736,https://www.ourcommons.ca/members/en/rene-arseneault(89383),1705764558727
René Arseneault,Madawaska—Restigouche,rene.arseneault@parl.gc.ca,,Constituency Office,Main office -  Dalhousie,,Dalhousie,New Brunswick,E8C 1A5,,506-684-6267,506-684-6250,https://www.ourcommons.ca/members/en/rene-arseneault(89383),1705764558727
René Arseneault,Madawaska—Restigouche,rene.arseneault@parl.gc.ca,,Constituency Office,Edmundston,,Edmundston,New Brunswick,E3V 1E5,,506-739-0285,506-739-0306,https://www.ourcommons.ca/members/en/rene-arseneault(89383),1705764558727
Chandra Arya,Nepean,chandra.arya@parl.gc.ca,http://chandraarya.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1325,613-992-1336,https://www.ourcommons.ca/members/en/chandra-arya(88860),1705764558727
Chandra Arya,Nepean,chandra.arya@parl.gc.ca,http://chandraarya.libparl.ca,Constituency Office,Main office -  Nepean,,Nepean,Ontario,K2J 6B6,,613-825-5505,613-825-2055,https://www.ourcommons.ca/members/en/chandra-arya(88860),1705764558727
Niki Ashton,Churchill—Keewatinook Aski,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-3018,613-996-5817,https://www.ourcommons.ca/members/en/niki-ashton(36037),1705764558727
Niki Ashton,Churchill—Keewatinook Aski,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Constituency Office,Main office -  Thompson,,Thompson,Manitoba,R8N 0L6,,204-677-1333,204-677-1339,https://www.ourcommons.ca/members/en/niki-ashton(36037),1705764558727
Niki Ashton,Churchill—Keewatinook Aski,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Constituency Office,The Pas,,The Pas,Manitoba,R9A 1M6,,204-627-8716,204-627-8717,https://www.ourcommons.ca/members/en/niki-ashton(36037),1705764558727
Niki Ashton,Churchill—Keewatinook Aski,niki.ashton@parl.gc.ca,http://nikiashton.ndp.ca,Constituency Office,Peguis,,Peguis,Manitoba,R0C 3J0,,431-971-1015,,https://www.ourcommons.ca/members/en/niki-ashton(36037),1705764558727
Jenica Atwin,Fredericton,Jenica.Atwin@parl.gc.ca,http://jenicafredericton.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1067,613-996-9955,https://www.ourcommons.ca/members/en/jenica-atwin(104586),1705764558727
Jenica Atwin,Fredericton,Jenica.Atwin@parl.gc.ca,http://jenicafredericton.ca,Constituency Office,Main office -  Fredericton,,Fredericton,New Brunswick,E3A 1C8,,506-452-4110,506-452-4076,https://www.ourcommons.ca/members/en/jenica-atwin(104586),1705764558727
Taylor Bachrach,Skeena—Bulkley Valley,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-7688,613-993-9007,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1705764558727
Taylor Bachrach,Skeena—Bulkley Valley,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Constituency Office,Smithers,,Smithers,British Columbia,V0J 2N0,,250-877-4140,,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1705764558727
Taylor Bachrach,Skeena—Bulkley Valley,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Constituency Office,Main office -  Terrace,,Terrace,British Columbia,V8G 1T2,,250-615-5339,250-615-5344,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1705764558727
Taylor Bachrach,Skeena—Bulkley Valley,Taylor.Bachrach@parl.gc.ca,http://taylorbachrach.ndp.ca,Constituency Office,Prince Rupert,,Prince Rupert,British Columbia,V8J 3T1,,250-622-2413,250-624-7737,https://www.ourcommons.ca/members/en/taylor-bachrach(105854),1705764558727
